Rank   | Team Name                           | Total Score
80     | 'ByteBinder'                        | 1165170.0
81     | Vho nkene na vho nkenen̈gene        | 1139418.0
82     | 'Merge Masters'                     | 1123141.0
83     | 'Prompt Injectors'                  | 1114646.0
84     | 'We deserve arrays'                 | 1075614.0
85     | 'Echos'                             | 1073768.0
86     | 'SheHackers'                        | 1068876.0
87     | 'The Gradient Syndicate'            | 1027440.0
88     | 'PrimeCode'                         | 1018322.0
89     | 'Terry The terrible '               | 1001291.0
90     | 'Infinite Loopers'                  | 1001281.0
91     | 'mizu_apt'                          | 996889.0
92     | 'TS LawKat'                         | 867020.0
93     | 'KUL Tech Titans'                   | 770152.0
94     | 'Code Fosters'                      | 764850.0
95     | 'We Will Debug You'                 | 735249.0
96     | 'CodeMonks'                         | 722928.0
97     | 'O(at least it runs)'               | 722271.0
98     | 'BUMBLEBEE'                         | 437073.0
99     | 'Cryptic'                           | 402867.0
100    | 'Git it 2gether'                    | 282381.0
101    | 'Joint speed'                       | 262425.0
102    | 'Belgium Coders'                    | 257764.0
103    | 'ctrl+alt+elite'                    | 257702.0
104    | '404 Found'                         | 257702.0
105    | 'ThebeTech'                         | 257702.0
106    | Eclipse Softworks                   | 257699.0
107    | 'Hackstreet Boys'                   | 250920.0
108    | 'Hackstreet boys'                   | 243151.0
109    | 'Ctrl+Alt+Elite'                    | 238545.0
110    | 'SixSevens'                         | 237404.0
111    | Bug Slayers                         | 237404.0
112    | 'Heaviside or Laplace?'             | 237404.0
113    | 'GForce'                            | 237404.0
114    | 'Plebs'                             | 237000.0
115    | 'God's Own'                         | 237000.0
116    | 'Doxygen '                          | 219802.0
117    | 'JDK_HACKERS'                       | 133071.0
118    | 'margins'                           | 30596.0
119    | 'cerberus'                          | 27077.0
120    | '4SP_NET'                           | 16132.0
121    | 'Ensemble'                          | 14684.0
122    | 'Code Blooded '                     | 14684.0
123    | 'Runtime Legends'                   | 14684.0
124    | 'Merge Conflict Resolved '          | 0.0
125    | 'Arising Stars'                     | 0.0
126    | 'Dev Black Ops'                     | 0.0
127    | 'The AlgoBanishers'                 | 0.0
128    | 'Code Wizards'                      | 0.0
129    | 'Triumph Labs'                      | 0.0
130    | '404 Cleanup Crew'                  | 0.0
131    | 'Tech4Christ '                      | 0.0
132    | 'AKV'                               | 0.0
133    | Southeasters                        | 0.0
134    | 'Alien-4S'                          | 0.0
135    | 'CodeFusion'                        | 0.0
136    | 'Venture Circle'                    | 0.0
137    | 'WAFA WAFA'                         | 0.0
138    | 'TheGrassTouchers'                  | 0.0
139    | 'ByteForce'                         | 0.0
140    | 'Cow&Chicken'                       | 0.0
141    | 'Q hackers'                         | 0.0
